smiles,Fu_final,lgFu,Fu_train_test
CN=C(CCN1C(=O)C(NC(=O)c2cc3c([nH]2)sc(c3)Cl)Cc2c1cccc2)O,0.995,-0.002176919,train
OCC(CN1C(=O)C(NC(=O)c2cc3c([nH]2)sc(c3)Cl)Cc2c1cccc2)CO,0.995,-0.002176919,train
O=C1C(NC(=O)c2cc3c([nH]2)sc(c3)Cl)Cc2c(N1CCS(=O)(=O)C)cccc2,0.995,-0.002176919,train
Brc1cc(CNCC23CC4CC(C3)CC(C2)C4)c(c(c1)F)O,0.995,-0.002176919,train
O=c1nc2[nH][nH]cc-2c(=O)[nH]1,0.995,-0.002176919,train
CC1CN(N=CC2C=NC=CC=2)C(=O)N=N1,0.9941025,-0.002568834,test
ONC(=N)CN1C(=O)C(NC(=O)c2cc3c([nH]2)sc(c3)Cl)Cc2c1cccc2,0.994,-0.002613616,test
O=C(N(C)C)CN1C(=O)C(NC(=O)c2cc3c([nH]2)sc(c3)Cl)Cc2c1cccc2,0.994,-0.002613616,train
CC1=CN(C2C=CC(CO)O2)C(=O)NC1=O,0.993333335,-0.00290499,test
CC1=NN(C(=O)N1C(F)F)C1=CC(NS(C)(=O)=O)=C(Cl)C=C1Cl,0.992550662,-0.003247317,train
CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,0.992471663,-0.003281884,train
O=C(N(C)C)Cn1c2cc(ccc2c(c1c1ccccc1)C1CCCCC1)C(=NS(=O)(=O)N(C)C)O,0.992,-0.003488328,train
CCS(=O)(=O)N=C(c1ccc2c(c1)n(CC(=O)N(C)C)c(c2C1CCCCC1)c1cocc1)O,0.992,-0.003488328,train
NC1=NC(=O)N(C=N1)C1OC(CO)C(O)C1O,0.990000005,-0.004364803,test
CP(O)(=O)CCC(N)C(O)=O,0.990000005,-0.004364803,train
CCC1C(COC1=O)CC1=CN=CN1C,0.990000005,-0.004364803,train
CCCCN1CC(O)C(O)C(O)C1CO,0.990000005,-0.004364803,train
NC(=O)C1N=CN(N=1)C1OC(CO)C(O)C1O,0.990000004,-0.004364804,train
COCC(=O)Nc1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)N(C)CC(O)CO)c1I,0.990000003,-0.004364804,train
NCC1OC(OC2C(O)C(OC3OC(CO)C(O)C(N)C3O)C(N)CC2N)C(O)C(O)C1O,0.99,-0.004364805,train
OCCN=C(CN1C(=O)C(NC(=O)c2cc3c([nH]2)sc(c3)Cl)Cc2c1cccc2)O,0.99,-0.004364805,train
CS(=O)CCN1C(=O)C(NC(=O)c2cc3c([nH]2)sc(c3)Cl)Cc2c1cccc2,0.989,-0.004803708,train
O=C(N(C)C)Cn1c2cc(ccc2c(c1c1cocc1)C1CCCCC1)C(=NS(=O)(=O)N(C)C)O,0.989,-0.004803708,train
