smiles,pKa_Acidic,pKaAcidic_train_test
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,3.44,test
O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,3.44,train
O=C(O)CN1C(=O)c2cccc3cccc(c23)C1=O,3.45,train
CCOc1cc(OCC)c(C(=O)CCC(=O)O)cc1OCC,3.45,train
Cc1cccc(C)c1NC(=O)CN(CC(=O)O)CC(=O)O,3.45,train
O=C(O)/C=C/c1ccc(O)c(O)c1,3.45,train
O=C([O-])CN1C(=O)c2cccc3cccc(c23)C1=O,3.45,train
CC(C)C[C@@H](OC(=O)c1ccco1)C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,3.45,train
CCOC(=O)N1c2ccc(C(F)(F)F)cc2[C@@H](N(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2ncc(OCCCC(=O)O)cn2)C[C@H]1CC,3.45,train
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2cc(OC)c(OC)cc2C[C@H]1C(=O)O,3.46,train
CC1=C/C(=N/OCC(=O)O)c2ccccc2C1=O,3.46,train
O=C(O)c1c(O)c(Cc2ccc(Cl)cc2)nc2c3c(ccc12)CCCC3,3.46,train
COc1ccccc1[C@H](Cn1c(=O)n(C(C)(C)C(=O)O)c(=O)c2c(C)c(-c3ncco3)sc21)OC1CCOCC1,3.46,train
CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1,3.47,test
O=C(O)c1ccc(S(=O)(=O)N(Cl)Cl)cc1,3.47,train
O=C(O)Cc1ccc2c(c1)OCc1ccccc1C2=O,3.47,train
CC(C)(Oc1ccc(C(O)c2ccc(Cl)cc2)cc1)C(=O)O,3.47,train
CC(Oc1ccccc1)C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,3.47,train
O=C(O)COc1ccccc1/C=N/NC(=O)c1ccncc1,3.47,train
O=C(O)CCCCN(CCc1ccccc1OCc1ccc(CCc2ccccc2)cc1)Cc1ccc(C(=O)O)cc1,3.47,train
CC(Oc1ccccc1)C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)[O-],3.47,train
O=C(O)Cn1nnc(-c2cc(N3CCC(Oc4cc(F)ccc4Br)CC3)no2)n1,3.47,train
O=C1C(O)=C(O)C(=O)C(O)=C1O,3.48,train
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)c3ccc(-c4ccc(S(=O)(=O)N(CCO)CCO)cc4)[nH]c3=O)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,3.48,train
COc1ccc(OC(C)C(=O)O)cc1,3.48,train
C[C@@H]1O[C@@H](CC(=O)O)CC2=C1C(=O)c1c(O)cccc1C2=O,3.48,train
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)Nc3cnc(Nc4ccc(S(N)(=O)=O)cc4)nc3O)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,3.48,train
COc1ccc(OC(C)C(=O)[O-])cc1,3.48,train
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCN(/N=C/c4ccco4)C3=O)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,3.48,train
CC1(C)S[C@@H]2[C@H](NC(=O)CSc3ccccc3)C(=O)N2[C@H]1C(=O)O,3.48,train
CNC(=O)C[C@@H](N)C(=O)N[C@@H](C(=O)N[C@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O)c1ccc(O)cc1,3.48,train
Cn1c(-c2ccccn2)c(C2CCCC2)c2ccc(C(=O)NC3(C(=O)Nc4ccc(/C=C/C(=O)O)cc4)CCC3)cc21,3.48,train
O=C(O)CCCCON=C(c1cccnc1)c1cccc(C(F)(F)F)c1,3.49,test
CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N,3.49,test
CC(C)(Oc1ccc(Cl)cc1)C(=O)N[C@@H](C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O)c1ccccc1,3.49,test
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)CNC(=N)c3ccncc3)c3ccccc3)C(=O)N2[C@H]1C(=O)O,3.49,test
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O,3.49,train
O=C(O)c1ccccc1C(=O)c1ccc(O)c(-c2ccccc2)c1,3.49,train
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCN(S(C)(=O)=O)C3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,3.49,train
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1C(=O)N(C)C[C@H]1C(=O)O,3.49,train
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,3.49,train
COc1ccc(S(=O)(=O)n2cc(CCC(=O)O)c3cc(OC)ccc32)cc1,3.49,train
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)[O-])c2ccccc2)C(=O)C1=O,3.49,train
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-],3.49,train
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCN(S(C)(=O)=O)C3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-],3.49,train
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)c3cnc4cccnc4c3O)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-],3.49,train
O=C(c1ccccc1)c1cc2c(cc1O)C(C(=O)O)CC2,3.5,test
O=C(O)[C@H]1CCCN1C(=O)CCCCC(=O)N1CCC[C@@H]1C(=O)O,3.5,test
CN(CC(=O)O)C(=N)N,3.5,train
CC(C)(Oc1ccc(Cl)cc1)C(=O)N1CSCC1C(=O)O,3.5,train
C=CCSCC(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,3.5,train
C[C@H](CSC(=O)c1ccccc1)C(=O)N1C[C@@H](Sc2ccccc2)C[C@H]1C(=O)O,3.5,train
Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1,3.5,train
O=C(Nc1nc(-c2cc(Cl)cs2)c(N2CCN(C3CCCCC3)CC2)s1)c1cnc(N2CCC(C(=O)O)CC2)c(Cl)c1,3.5,train
C[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)CCCC[C@@H]1CCSS1)C(=O)O,3.5,train
CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1,3.51,test
O=C(O)c1ccccc1Nc1cc(Cl)ccc1C(=O)O,3.51,train
CC(=N)N1CC[C@H](SC2=C(C(=O)O)N3C(=O)[C@H]([C@@H](C)O)[C@H]3C2)C1,3.51,train
Cn1c(C#N)ccc1-c1ccc2c(c1)C(C)(C)OC(=S)N2,3.51,train
Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)cc3)nc2C)ccc1OCC(=O)O,3.51,train
C[C@H](NC(=O)C(=O)Nc1ccccc1C(C)(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)COc1c(F)c(F)cc(F)c1F,3.51,train
O=C([O-])c1ccccc1Nc1cc(Cl)ccc1C(=O)[O-],3.51,train
O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1,3.52,train
O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,3.52,train
O=C(O)c1ccc(S(=O)(=O)N(Cc2ccc(OC(F)(F)F)cc2)c2ncc3ccccc3c2C2CC2)cc1,3.52,train
Cc1c(-c2cc(C(=O)O)c3c(O[C@H](C)C4CCOCC4)ccc(C)c3n2)oc2ccccc12,3.52,train
CCN(CC)S(=O)(=O)c1ccc(C(=O)O)cc1,3.53,test
COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)C)cn2)nc(-c2ccnc(-c3nnn[nH]3)c2)nc1OCCO,3.53,test
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,3.53,train
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,3.53,train
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O.c1ccc(CCNCc2ccccc2)cc1,3.53,train
CC(=O)N[C@@H](CSC(C)=O)C(=O)O,3.53,train
COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(=O)O,3.53,train
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)[O-],3.53,train
CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O,3.53,train
COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C)cn2)nc(-c2ccnc(-c3nnn[nH]3)c2)nc1OCCO,3.53,train
NS(=O)(=O)c1ccc(C(=O)O)cc1,3.54,train
O=C1NOCC1/N=C/c1ccc(/C=N/C2CONC2=O)cc1,3.54,train
CS(=O)(=O)N[C@@H](CCCCN)C(=O)NC[C@H](CC1(C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)O)CCCC1)C(=O)O,3.54,train
O=C(O)CCC(=O)O,3.55,train
O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl,3.55,train
CO[C@@H]([C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1NC(C)=O)[C@H](O)CO,3.55,train
CC(C)(Oc1ccccc1)C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,3.55,train
COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,3.55,train
C[C@H](CSC(=O)[C@@H](C)NC(=O)C1CCCCC1)C(=O)N1CCC[C@H]1C(=O)O,3.55,train
C#CCOc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,3.55,train
CC(SC(=O)c1cccs1)C(=O)NCC(=O)O,3.56,train
Cc1ccc2c(c1)CC(=O)c1cc(C(C)C(=O)O)ccc1O2,3.56,train
O=S(=O)(Nc1cccc(OCc2ccc3ccccc3n2)c1)C(F)(F)F,3.56,train
CC(=O)N[C@@H](CCC(=O)C=[N+]=[N-])C(=O)O,3.56,train
Cc1cc(C)cc(NC(=O)Cc2ccc(OC(C)(C)C(=O)O)cc2)c1,3.56,train
Cc1cc(C)cc(NC(=O)Cc2ccc(OC(C)(C)C(=O)[O-])cc2)c1,3.56,train
Cc1cn(C(=O)c2c(-c3c(Cl)cc(Cl)cc3Cl)noc2C(C)(C)F)c2cccc(/C=C/C(=O)O)c12,3.56,train
CC(C)(C)N.Cc1cn(C(=O)c2c(-c3c(Cl)cc(Cl)cc3Cl)noc2C(C)(C)F)c2cccc(/C=C/C(=O)O)c12,3.56,train
O=C(O)c1cc(-c2ccccc2)nc2ccccc12,3.57,train
O=C(O)Cc1ccc2c(c1)SCc1ccccc1C2=O,3.57,train
O=C1CC[C@@H](C(=O)N2CSC[C@H]2C(=O)O)N1,3.57,train
O=C(O)COCCN1CCN(C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,3.57,train
C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,3.57,train
COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,3.57,train
C[C@H](Cc1c[nH]c2c(OCC(=O)O)cccc12)NC[C@H](O)c1cccc(Cl)c1,3.57,train
COc1cc(/C=C/C(=O)O)ccc1OCCO,3.57,train
COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)[O-])C(=O)OC2,3.57,train
C[C@@]1(C(=O)N[C@@H](CCC(=O)O)C(=O)O)CCCN1C(=O)CN,3.57,train
CCOCCn1nc(C(=O)NS(C)(=O)=O)c2nc(N(C)CC)nc(Nc3cc(C)ccn3)c21,3.57,train
CN(C)CCN(C)[C@H]1COc2ccccc2-c2c(C3CCCCC3)c3ccc(C(=O)O)cc3n2C1,3.57,train
O=C(c1ccc(F)cc1)c1ccccc1N[C@@H](Cc1ccc(OCCn2c3ccccc3c3ccccc32)cc1)C(=O)O,3.57,train
COc1cc(/C=C/C(=O)O)ccc1O,3.58,train
Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)cc3F)nc2C)ccc1OC(C)(C)C(=O)O,3.58,train
CCCCC1(CCCC)CN(c2ccccc2)c2cc(SC)c(OCC(=O)N[C@@H](C(=O)NCC(=O)O)c3ccccc3)cc2S(=O)(=O)C1,3.58,train
CCO[C@H](COc1ccc(C(F)(F)F)cc1)CSc1ccc(OCC(=O)O)c(C)c1,3.58,train
CCO[C@H](COc1ccc(C(F)(F)F)cc1)CSc1ccc(OCC(=O)O)c(C)c1.NCCCC[C@H](N)C(=O)O,3.58,train
COc1cc(/C=C/C(=O)[O-])ccc1O,3.58,train
O=C(O)Cc1nn(Cc2nc3cc(C(F)(F)F)ccc3s2)c(=O)c2nccnc12,3.58,train
N#Cc1ccc(COc2cccc(C3CCN(Cc4nc5ccc(C(=O)O)cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,3.58,train
N#Cc1ccc(COc2cccc(C3CCN(Cc4nc5ccc(C(=O)O)cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1.NC(CO)(CO)CO,3.58,train
O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,3.59,train
O=C(O)[C@@H]1CS[C@H](c2ccccc2O)N1C(=O)CCS,3.59,train
O=C(O)COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1,3.59,train
O=C(C=Cc1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12)Nc1ccccc1,3.59,train
CCCCC/C=C\C/C=C\C=C\C=C\[C@@H](SC[C@H](N)C(=O)NCC(=O)O)[C@@H](O)CCCC(=O)O,3.59,train
O=C(O)c1ccc(NC(=O)[C@H](CC2CCCC2)n2cnc(C(F)(F)F)c2)nc1,3.59,train
CC(C)(Sc1ccncc1-c1ccc(C#N)c2ccccc12)C(=O)O,3.59,train
O=C(Nc1ccc(Cl)cc1)NS(=O)(=O)c1ccc2c(c1)CCC2,3.6,test
CC(=O)S[C@H](C(=O)N[C@H]1Cc2ccccc2[C@H]2CCC[C@@H](C(=O)O)N2C1=O)C(C)C,3.6,test
C=C(C[C@H](NC(=O)c1ccc(CCc2ccc3nc(N)nc(N)c3c2)cc1)C(=O)O)C(=O)O,3.6,test
O=C(O)c1ccc2[nH]cc(CCCCN3CC=C(c4ccccc4)CC3)c2c1,3.6,train
CC(C(=O)O)c1ccc(Oc2nccs2)cc1,3.6,train
Cc1ccc2c(=O)c3cccc(CC(=O)O)c3oc2c1C,3.6,train
O=C(Nc1ccc(Cl)c(Cl)c1)NS(=O)(=O)c1ccc2c(c1)CCO2,3.6,train
CCCc1c(OCCCOc2cc(O)c(-c3ccc(F)cc3)cc2CC)cccc1Oc1ccccc1C(=O)O,3.6,train
CCOP(=O)(NC(=S)Nc1ccccc1NC(=O)NS(=O)(=O)c1ccc(C)cc1)OCC,3.6,train
C=C(CC(NC(=O)c1ccc(CCc2ccc3nc(N)nc(N)c3c2)cc1)C(=O)O)C(=O)O,3.6,train
O=C(O)c1ccc2nc(-c3cc(Cl)cc(Cl)c3)oc2c1,3.6,train
CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C(O)c1ccc2nc(-c3cc(Cl)cc(Cl)c3)oc2c1,3.6,train
NC(=O)CC[C@@H](C(=O)O)N(CCNC(=S)Nc1ccc2c(c1)C(=O)OC21c2ccc(O)cc2Oc2cc(O)ccc21)C(=O)c1ccc(NCc2cnc3nc(N)[nH]c(=O)c3n2)cc1,3.6,train
O=C1CC[C@@H](C(=O)O)N1,3.61,train
CN1Cc2cc(C(=O)N3CCC(C4CCNCC4)CC3)ccc2N[C@@H](CC(=O)O)C1=O,3.61,train
COc1ccc(-c2ccc(OCc3cc(C(=O)NS(=O)(=O)c4ccccc4C)oc3C)cc2)nc1,3.61,train
CC(C)C1=C2[C@H]3CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2([C@@H](O)CN(CCN(C)C)Cc2ccc(Cl)cc2)CC1=O,3.61,train
CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,3.62,test
CCc1c(C(=O)C(N)=O)c2c(OCC(=O)O)cccc2n1Cc1ccccc1,3.62,test
O=C(O)c1cnccn1,3.62,train
CCOC(=O)N1CSC[C@H]1C(=O)O,3.62,train
N=C(N)c1ccc(-c2ccc(OC[C@@H]3C[C@@H](CC(=O)O)C(=O)N3)cc2)cc1,3.62,train
O=Cc1c(O)cccc1OCCCCC(=O)O,3.62,train
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,3.62,train
CCc1c(C(=O)C(N)=O)c2c(OCC(=O)[O-])cccc2n1Cc1ccccc1,3.62,train
COc1ccc(CC(=O)O)cc1Oc1ccc(NC(=O)C(C)(C)C)cc1CSC(C)(C)C,3.62,train
CC(=O)/C=C(/C)N[C@@H]1CON=C1O,3.62,train
CCOC(=O)[C@H](CCc1ccccc1)N[C@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,3.62,train
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@H]3C[C@@H](C(=O)N4CC[C@H](NC(=O)CNC(=N)N)C4)N(C)C3)[C@H](C)[C@H]12,3.63,test
CC(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2,3.63,train
O=C(O)COc1ccc(CCNS(=O)(=O)c2ccccc2)s1,3.63,train
O=C(O)CCSCC(=O)O,3.63,train
O=C1C(I)=CC(=C(c2cc(I)c(O)c(I)c2)c2ccccc2C(=O)O)C=C1I,3.63,train
O=C(O)C[C@H](NC(=O)[C@@H]1CCCN(C(=O)CCC2CCNCC2)C1)c1cccnc1,3.63,train
O=C1C(I)=CC(=C(c2cc(I)c([O-])c(I)c2)c2ccccc2C(=O)[O-])C=C1I,3.63,train
CC(C(=O)O)c1ccc(Nc2ccccc2C(=O)O)cc1,3.64,train
CC(=O)N[C@@H](CSCC(C)C(=O)c1ccccc1)C(=O)O,3.64,train
C[C@H](CSC(=O)C(C)(C)C)C(=O)N(CC(=O)O)C1CCCC1,3.64,train
CO[C@@H](Cc1ccc(OCCCOc2ccc(Oc3ccccc3)cc2)cc1)C(=O)O,3.64,train
COC[C@H]1C[C@@](Cn2cccn2)(C(=O)O)N(C(=O)c2ccc(C(C)(C)C)c(OC)c2)[C@H]1c1nccs1,3.64,train
O=C(O)c1ccc(CN2CCC(CN[C@@H]3C[C@H]3c3ccccc3)CC2)cc1,3.64,train
O=C(O)C1=CC[C@@H]2CC(=O)N12,3.65,test
O=C(O)c1ccccc1C(=O)N1CCSC1,3.65,train
O=C(O)CCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1,3.65,train
CCc1ccc(Nc2c(F)c(F)cc(F)c2F)c(CC(=O)O)c1,3.65,train
O=C(O)c1ccc(C(F)(F)F)cc1-c1ccc2c(c1)OC[C@H](Cc1ccccc1)[C@H]2O,3.65,train
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@H]3CC[S@@+]([O-])C3)S[C@H]12,3.65,train
Cn1ncc2cc(-c3cc(CCC(=O)O)cc(N)c3OC3Cc4ccccc4C3)ccc21,3.65,train
O=C([O-])CCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1,3.65,train
O=C(O)COc1nn(Cc2ccccc2)c2ccccc12,3.66,train
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)O,3.66,train
C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)COC(=O)CCC(=O)O)[C@@]2(C)C=CC(=O)C=C12,3.66,train
COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1,3.66,train
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)O,3.66,train
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)[O-],3.66,train
O=C(O)CCCNC(=O)c1ccc(Cl)cc1O,3.66,train
O=C([O-])CCCNC(=O)c1ccc(Cl)cc1O,3.66,train
C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)COC(=O)CCC(=O)[O-])[C@@]2(C)C=CC(=O)C=C12,3.66,train
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)[O-],3.66,train
COc1ccc(C(=O)c2c(C)n(CC(=O)O)c3cc(OC)ccc23)cc1,3.67,test
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@H]3CNC(=O)C3)[C@H](C)[C@H]12,3.67,test
O=C(O)Cc1nn(Cc2ccc(Br)cc2F)c(=O)c2ccccc12,3.67,train
CCCCC1(COC(=O)CCC(=O)O)C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,3.67,train
CC(C(=O)O)c1ccc2c(c1)CC(=O)c1ccccc1S2,3.67,train
O=C(O)c1cccc2c1Nc1cc(C(F)(F)F)ccc1S2,3.67,train
COc1ccc(C(=O)c2ccc3n2CCC3C(=O)O)cc1,3.67,train
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,3.67,train
CCCCCCCCCCCCCCCCCC(=O)NCCCC[C@H](NC(=O)CC[C@@H](NC(=O)[C@H](C)NC(=O)[C@@H](C)O[C@H]1[C@H](O)[C@@H](CO)OC(O)[C@@H]1NC(C)=O)C(N)=O)C(=O)O,3.67,train
COc1ccc(CN(C(=O)[C@@H](N)Cc2c(C)cc(C(N)=O)cc2C)[C@@H](C)c2ncc(-c3ccccc3)[nH]2)cc1C(=O)O,3.67,train
Cn1c(C2(NC(=O)c3ccc4c(C5CCCC5)c(-c5ncc(Br)cn5)n(C)c4c3)CCC2)nc2ccc(/C=C/C(=O)O)cc21,3.67,train
Cc1cc(OCCCS(C)(=O)=O)cc(C)c1-c1cccc(COc2cc3c(cn2)[C@H]2[C@@H](C3)[C@@H]2C(=O)O)c1,3.67,train
CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,3.68,test
Cc1c(C)c2c(c(C)c1OCC(=O)O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,3.68,test
CC(O)(CC(=O)O)CC(=O)O,3.68,train
Nc1ccc(C(=O)O)c(O)c1,3.68,train
O=C(O)Cn1c2ccccc2c(=O)c2ccccc21,3.68,train
O=C(O)c1ccccc1-c1ccc(C(F)(F)F)cc1,3.68,train
O=C(O)Cc1cccc2c(=O)cc(-c3ccccc3)oc12,3.68,train
O=C(O)c1cncc(F)c1,3.68,train
CCc1nc2c(C)cc(-c3cn4c(n3)CCCC4)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,3.68,train
N[C@H]1C[C@@H](C(=O)O)CC1=C(F)F,3.68,train
Nc1ccc(C(=O)[O-])c(O)c1,3.68,train
CC/C(=C(/c1ccc(/C=C/C(=O)O)cc1)c1ccc2[nH]ncc2c1)c1ccc(F)cc1Cl,3.68,train
COc1ccc2c(c1)CN(Cc1ccc(C(=O)O)cc1)CCS2,3.68,train
N=C(N)c1ccc(C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N2CCC(OCC(=O)O)CC2)cc1,3.69,test
CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O,3.69,train
O=C1NC(=O)C(C(=O)Nc2ccc(Cl)cc2)c2ccccc21,3.69,train
CC(=O)N1C[C@H](O)C[C@H]1C(=O)O,3.69,train
O=C(O)C1=Cc2sc(Cn3ccnc3)cc2CC1,3.69,train
CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(C(=O)O)cc3)ccc21,3.69,train
C[C@@H](S)C(=O)NCC(=O)N1CSC[C@@H]1C(=O)O,3.69,train
C[C@@H]1C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@H]3O[C@@H]3/C=C/C(=O)O1)C[C@H](O)[C@H]2C(=O)O,3.69,train
CCCCC1C/C=C/C=C/C=C/C=C/C(O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)CC2OC(O)(CC(O)CC3OC3/C=C/C(=O)O1)CC(O)C2C(=O)O,3.69,train
C[C@H](NC(=O)c1ccc(C(=N)N)cc1)C(=O)N1CCC(OCC(=O)O)CC1,3.69,train
Cc1cc([N+](=O)[O-])c(NS(=O)(=O)c2cccc(C(=O)O)c2)cc1-c1cccnc1,3.69,train
CCN1[C@@H](C(=O)NC23CCC(C(=O)O)(CC2)CC3)[C@H](c2cccc(Cl)c2F)[C@]2(C(=O)Nc3cc(Cl)ccc32)C12CCCCC2,3.69,train
CC(C)COc1cc(F)cc(-c2ccc(C(=O)NS(=O)(=O)c3ccccc3)c(N3C[C@@H](C)CC3(C)C)n2)c1,3.69,train
O=C(O)Cc1nn(Cc2nc3cc(C(F)(F)F)ccc3s2)c(=O)c2cscc12,3.69,train
COc1ccc2c(c1OCc1ccccc1)C[C@@H](C(=O)O)N(C(=O)C(c1ccccc1)c1ccccc1)C2,3.7,test
CC(C)(Oc1ccc(C2CCCc3ccccc32)cc1)C(=O)O,3.7,train
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O,3.7,train
O=C(O)CCC(=O)c1ccc(C2CCCCC2)c(Cl)c1,3.7,train
CC(/C=C1\SC(=S)N(CC(=O)O)C1=O)=C\c1ccccc1,3.7,train
O=C(O)[C@H]1O[C@H]2O[C@@H]1C(=O)N(Cc1ccccc1)[C@@H]2Cc1ccccc1,3.7,train
CCO[C@H]1CCN(Cc2c(OC)cc(C)c3[nH]ccc23)[C@H](c2ccc(C(=O)O)cc2)C1,3.7,train
CC(/C=C1\SC(=S)N(CC(=O)O)C1=O)=C\c1ccccc1.CC(/C=C1\SC(=S)N(CC(=O)[O-])C1=O)=C\c1ccccc1.C[N+](C)(C)CCO,3.7,train
CC1CN(C2CCC(C#N)(c3ccc(F)cc3)CC2)CCC1(C(=O)O)c1ccccc1,3.71,train
C=CCOc1ccc(CC(=O)O)cc1Cl,3.71,train
