smiles,pKa_Basic,pKaBasic_train_test
CC(C)n1nc(-c2ccc3oc(N)nc3c2)c2c(N)ncnc21,3.75,train
CCOC(=O)[C@H](Cc1ccc(Nc2nccc3ccncc23)cc1)NC1=C(Br)C(=O)C12CCCCC2,3.76,train
COc1ccc(-c2nc(N3CCOCC3)c3sc(CN(C)c4ncc(C(=O)NO)cn4)cc3n2)cn1,3.76,train
Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C,3.77,train
OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)ncc2n1,3.77,train
CC(C)Cc1ccc(C(C)C(=O)OCc2ccccn2)cc1,3.78,train
O=C(CN1CCOCC1)OCC(=O)c1ccccc1,3.78,train
Nc1nc(=S)c2ncn([C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c2[nH]1,3.78,train
FC(F)(F)Oc1ccc(Nc2ccc3cccc(Cl)c3n2)cc1,3.78,train
O=C1Nc2cc3[nH]nc(-c4ccncc4)c3cc2CN1Cc1ccccc1,3.78,train
C=CC(=O)N[C@H]1CCOC[C@H]1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,3.79,test
N#CCN1CC(=N)N(c2ccc(Cl)cc2)C1=O,3.79,train
c1ccc2oc(-c3ccncc3)cc2c1,3.79,train
Nn1cnnc1N/N=C/c1c(Cl)cccc1Cl,3.79,train
CCCNC(=O)c1nnc2c(-c3cc(OC)ccc3OC)cccc2c1N,3.79,train
CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,3.79,train
CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O.NCCO,3.79,train
CCc1c2c(nc3ccc(OC(=O)N4CCC(CCn5ccc6cc(-n7c(-c8cc(C(C)C)c(O)cc8O)n[nH]c7=O)ccc65)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,3.8,test
Cc1ccc(-c2ccc(C)cn2)nc1,3.8,train
Cc1ccccc1-n1c(/C=C/c2ccccn2)nc2ccccc2c1=O,3.81,train
O=C(Nc1ccccc1)C1CCN(C(=O)Oc2cccnc2)CC1,3.81,train
CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3cc(C)n(C)n3)nc21,3.81,train
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,3.82,test
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1,3.82,test
Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2,3.82,train
CC(C)NNC(=O)c1ccncc1,3.82,train
CCCCCCOC(=O)NC(=N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1,3.82,train
c1cnc(NCc2ccc(CNc3ncccn3)cc2)nc1,3.82,train
O=C1CCC[C@@H]2[C@H]3CCC[N@+]4([O-])CCC[C@@H](CN12)[C@@H]34,3.82,train
Cc1nc(=O)c(C#N)c(NCc2cccnc2)[nH]1,3.82,train
C[C@@H]1[C@H](c2ccccc2)C[C@H](NC(=O)c2cnc3c(c2)C[C@@]2(C3)C(=O)Nc3ncccc32)C(=O)N1CC(F)(F)F,3.83,test
CC1CN2CC(=O)Nc3ccc(Cl)cc3C2(c2ccccc2)O1,3.83,train
Nc1ncc2ncn(COCCO)c2n1,3.83,train
CC(C)OCC(COC(C)C)OCn1cnc2cnc(N)nc21,3.83,train
CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N4CC4)[C@H](OS(C)(=O)=O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O,3.83,train
C[C@@H]1[C@H](c2c(F)ccc(F)c2F)C[C@H](NC(=O)c2cnc3c(c2)C[C@@]2(C3)C(=O)Nc3ncccc32)C(=O)N1CC(F)(F)F,3.83,train
Nc1nc(/C(=N\O[C@H](C(=O)O)c2ccc(O)c(O)c2)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=CCS[C@H]23)cs1,3.84,test
O=C(OCC(COC(=O)c1cccnc1)(COC(=O)c1cccnc1)COC(=O)c1cccnc1)c1cccnc1,3.84,train
Nc1cccc(-n2ccccc2=O)c1,3.84,train
O=C(OC[C@H]1O[C@](O)(COC(=O)c2cccnc2)[C@@H](OC(=O)c2cccnc2)[C@@H]1OC(=O)c1cccnc1)c1cccnc1,3.84,train
O=C(OCC1(COC(=O)c2cccnc2)CCCC(COC(=O)c2cccnc2)(COC(=O)c2cccnc2)C1O)c1cccnc1,3.84,train
Cc1nc(C(=O)NCC(=O)O)c(O)c2ccc(Oc3ccccc3)cc12,3.84,train
Cc1c(Cc2ccc3ccccc3n2)c2cc(F)ccc2n1CC(=O)O,3.84,train
CN(C)C(=O)CCn1nc(Nc2ccc3c(c2)OC(F)(F)O3)nc1-c1ccncc1,3.84,train
COC(=O)c1cc([C@@H](OC(=O)c2cccnc2)[C@H](OC(=O)c2cccnc2)[C@@H](COC(=O)c2cccnc2)OC(=O)c2cccnc2)oc1C,3.84,train
Cc1cc(O)c2c(ccc3nc(-c4ccco4)[nH]c32)n1,3.85,test
Cc1cc(=O)c(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)c[nH]1,3.85,train
CC[N+]([O-])(CC)CCOc1ccc(/C(=C(/Cl)c2ccccc2)c2ccccc2)cc1,3.85,train
Cc1cc(O)c(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)[O-])=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)cn1,3.85,train
COc1ncc(C)c(-c2ccc3c(c2)[nH]c(=O)c2cnn([C@H]4CCOC4)c23)c1C,3.86,test
OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCN21,3.86,train
O=C(O)Cc1sc2nc3ccccc3n2c1-c1ccc(Cl)cc1,3.86,train
COc1ccc(S(=O)(=O)N2C(=O)[C@@](c3ccccc3OC)(N3C[C@H](O)C[C@H]3C(=O)N(C)C)c3cc(Cl)ccc32)c(OC)c1,3.86,train
O=C(Nc1cccc(Cl)c1)Nc1ncc(CCNc2ncnc3ccsc23)s1,3.86,train
C[n+]1ccc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c4csc(N)n4)[C@H]3[S+]([O-])C2)cc1,3.87,train
CN1C2C(=O)c3ccccc3C1C1=C2C(=O)c2ccccc2C1=O,3.87,train
Nc1nc(/C(=N/OC2(C(=O)O)CC2)C(=O)N[C@@H]2C(=O)N(S(=O)(=O)O)[C@@H]2CN2CCOC2=O)cs1,3.87,train
Nc1cc2[nH]cnc2c(=O)[nH]1,3.88,train
N=C1NC(=O)N2CC12,3.88,train
C[C@@H](Oc1nnc(-c2ccncc2)n1C)c1cc(-c2cccc(Cl)c2)on1,3.89,test
COCC(=O)Nc1cc(COc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3-c3ccc(C)cc3)c3ccccc23)ccn1,3.89,train
Cc1cc(C)c2c3ccccc3n(Cc3cccc([C@@H](C(=O)N[C@@H](CO)c4ccccc4)C4CCCC4)c3)c2n1,3.9,train
NC(=O)OC[C@@H]1[C@H](NC(=O)/C(=N\OCC(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,3.9,train
COc1cccc2nc(-c3cccs3)nc(NN3C(=O)C=C(C)C3=O)c12,3.9,train
O=C(O)C(O)C(O)C(=O)Oc1cccnc1,3.9,train
C[C@@H](O[C@H]1OCCN(Cc2nc(=O)n(P(=O)(O)O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,3.9,train
C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,3.91,test
CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,3.91,test
CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,3.91,train
Cc1ccc2c(Br)cc(Br)c(O)c2n1,3.91,train
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(N)cccc3nc2-1,3.91,train
CC[C@@H](C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](CSc6nncn6C)(c6ccc(Cl)cc6)O5)cc4)CC3)cc2)c1=O,3.91,train
CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@](Cn6cncn6)(c6ccc(F)cc6F)O5)cc4)CC3)cc2)c1=O,3.91,train
CNC(=S)C1(c2ccccn2)CCCS1,3.91,train
N#Cc1cc(-c2n[nH]c(-c3ccncc3)n2)ccn1,3.91,train
C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O.NCCCC[C@H](N)C(=O)O,3.91,train
N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,3.91,train
N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(S(=O)(=O)C2CC2)C1,3.91,train
[2H]C1([2H])C([C@@H](CC#N)n2cc(-c3ncnc4[nH]ccc34)cn2)C([2H])([2H])C([2H])([2H])C1([2H])[2H],3.91,train
Cc1cc2c(C(N)=O)cccc2n1-c1nc2c(c(NCc3ccccc3)n1)COCC2,3.91,train
O=C(c1cccnc1-c1ccncc1)N1CCC(O)(Cc2ccccc2)CC1,3.91,train
COC(=O)Nc1nc2ccc(C(=O)C3CC3)cc2[nH]1,3.92,train
CC(CNC(=O)c1cccnc1)NC(=O)c1cccnc1,3.92,train
CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,3.92,train
COc1ccc(CCOC(c2ccccc2)(c2ccccc2)[C@H](Oc2nc(C)cc(C)n2)C(=O)O)cc1OC,3.92,train
CC(C)Cc1sc(N)nc1-c1ccc(P(=O)(O)O)o1,3.92,train
COc1cc(C(=O)c2c[nH]c(-c3c[nH]c4ccccc34)n2)cc(OC)c1OC,3.92,train
CC(C)OC(=O)Nc1ccc2[nH]c(-c3cscn3)nc2c1,3.93,train
CC(C)N1CCN(c2ccc(N3CCN(c4ccc(OC[C@H]5OC[C@](Cn6cncn6)(c6ccc(F)cc6F)O5)cc4)CC3)cc2)C1=O,3.93,train
CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,3.93,train
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)C[C@H]1O,3.94,train
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,3.94,train
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,3.94,train
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)C[C@@H]1F,3.94,train
O=[N+]([O-])c1ccc(NN=C(c2ccc(O)cc2)c2ccc(O)cc2)c([N+](=O)[O-])c1,3.94,train
CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,3.94,train
CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)[O-],3.94,train
COc1ncnc(Cn2cc(C(=O)NCCO)c3ncc(C)cc32)c1C,3.94,train
CN1CC(=O)N/C1=N\P(=O)(O)O,3.94,train
C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1,3.95,test
O=C(O)[C@H](Cc1ccc(Nc2nccc3ccncc23)cc1)NC1=C(Br)C(=O)C12CCCCC2,3.95,train
COc1cccc(-c2cc(F)c(Nc3ncccc3C(=O)O)c(F)c2)c1,3.95,train
CCOC(=O)OC(C)OC1=C(C(=O)Nc2ccccn2)N(C)S(=O)(=O)c2ccccc21,3.96,train
OC(CCl)CN1CC[N+]2(CC1)CC[N+]1(CCN(CC(O)CCl)CC1)CC2,3.96,train
CN1C(C(=O)Nc2ccccn2)=C(OC(=O)/C=C/c2ccccc2)c2ccccc2S1(=O)=O,3.96,train
COC(=O)N1CCC(CC#Cc2nc(N)c3ncn([C@@H]4O[C@H](C(=O)NC5CC5)[C@@H](O)[C@H]4O)c3n2)CC1,3.96,train
O=[N+]([O-])c1cn2c(n1)O[C@@H](COc1ccc(-c3ccc(F)cc3)nc1)CC2,3.96,train
CC(C)NNC(=O)COc1ccc(Cl)cc1,3.97,train
O=C(Cc1ccc(-c2ccc(N3CCOCC3)cc2)cn1)NCc1cccc(F)c1,3.97,train
CCCc1cc2c(O)c(C(=O)OC)cnc2cc1N(CC)CC,3.98,test
CCCCc1nc(CCCC)n(Cc2ccc(-c3ccccc3-c3nnn[nH]3)nc2)n1,3.98,train
CC1(C)OCCn2c1nc1c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12,3.98,train
O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2cc[nH]n2)c1,3.98,train
CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(CCNC(=O)c4ccc(O)c(O)c4Cl)CCCC3)CS[C@H]12)c1csc(N)n1)C(=O)O,3.98,train
CC[C@H](Nc1ncnc2[nH]cnc12)c1oc2ccccc2c(=O)c1-c1cccc(F)c1,3.98,train
Cc1c(C#N)cccc1-c1cc(-c2cn(Cc3cccc(C(C)(C)O)n3)nn2)nc(N)n1,3.98,train
CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N,3.99,test
Cc1cc(CCCCCCCOc2ccc(C3=NCCO3)cc2)on1,3.99,train
COC(=O)Nc1nc2cc(OS(=O)(=O)c3ccc(F)cc3)ccc2[nH]1,3.99,train
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,3.99,train
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1cccnc1,4,test
Cc1ccc2c(Cl)cc(Cl)c(O)c2n1,4,train
NOCc1ccc(Br)c(O)c1,4,train
O=C(NCN1CCOCC1)c1cnccn1,4,train
COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O,4,train
COc1ncc(-c2ccc3nccc(-c4ccnnc4)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,4,train
COc1ccc(-c2cncc(N[C@@H](C)c3cccc(NC(=O)c4cncc(C)c4)c3)n2)cc1OC,4,train
N#Cc1ccccc1-c1cc(-c2ccccn2)cn(-c2ccccc2)c1=O,4.01,test
Oc1ccc(Cl)c2cccnc12,4.01,train
CCn1cc(C(=O)O)c(=O)c2cnc(N3CCCC3)nc21,4.01,train
Cc1ccc2ccccc2c1CON.O=C(O)CC(O)C(=O)O,4.01,train
Cc1ccc2ccccc2c1CON,4.01,train
C#CCOc1ccc(N)cc1C(=O)NCCCC,4.01,train
CO[C@H](C(=O)NO)[C@@H](CC(C)C)C(=O)N[C@H](C(=O)Nc1ccccn1)C(C)(C)C,4.01,train
Cc1c(N)cccc1Cn1ccc(OCCc2cccs2)cc1=O,4.01,train
CC(C)Oc1ccc(-c2nn([C@@H](C)c3oc4ccc(F)cc4c(=O)c3-c3cccc(F)c3)c3ncnc(N)c23)cc1F,4.01,train
C=CC(=O)N1CCN(c2ncnc3c(F)c(-c4ccc(F)c5sc(N)nc45)c(Cl)cc23)CC1,4.01,train
O=C(c1ccccc1)N1CCN/C1=N\c1c(Cl)cccc1Cl,4.02,train
O=C(OC[C@H](OC(=O)c1cccnc1)[C@@H](OC(=O)c1cccnc1)[C@H](OC(=O)c1cccnc1)[C@@H](COC(=O)c1cccnc1)OC(=O)c1cccnc1)c1cccnc1,4.02,train
O=C(O)/C=C/c1nc(CSc2c(Cl)cccc2Cl)ccc1OCCc1ccccc1,4.03,test
CCCCCCCN(CCCCCSc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)C(=O)Nc1ccc(F)cc1F,4.03,train
CN(C)S(=O)(=O)c1cc(-c2cs/c(=N/c3ccccc3)n2C)ccc1Cl,4.03,train
O=C(Cc1ccc(-c2ccccc2)cc1)Nc1ccccn1,4.04,train
O=C(N[C@H]1[C@H](OC(=O)c2cccnc2)O[C@H](COC(=O)c2cccnc2)[C@@H](OC(=O)c2cccnc2)[C@@H]1OC(=O)c1cccnc1)c1cccnc1,4.04,train
CCCCc1nc(N)c2nc(-n3nccn3)n(C)c2n1,4.04,train
CCOc1ccc(-c2ccc(Cn3c(CC(C)(C)C(=O)O)c(SC(C)(C)C)c4cc(OCc5ccc(C)cn5)ccc43)cc2)cn1,4.05,train
CCOc1ccc(-c2ccc(Cn3c(CC(C)(C)C(=O)[O-])c(SC(C)(C)C)c4cc(OCc5ccc(C)cn5)ccc43)cc2)cn1,4.05,train
COC(=O)Nc1nc2cc(Sc3ccccc3)ccc2[nH]1,4.06,test
Cn1c([N+](=O)[O-])cnc1/C=C/c1ccnc(N)n1,4.06,train
Cc1cc(-c2ccccc2)nnc1N1CCN(c2ncccn2)CC1,4.06,train
C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,4.06,train
COc1cc(NC(C)CCCN/C(C)=C2\CCOC2=O)c2ncccc2c1,4.07,train
CSc1ccc2ncn(/C=C/C(=O)O)c(=O)c2c1,4.07,train
Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,4.07,train
O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(-c3ccc(OC(F)(F)F)cc3)nc1)C2,4.07,train
CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,4.08,test
O=P(O)(O)Oc1ccc(C(c2ccc(OP(=O)(O)O)cc2)c2ccccn2)cc1,4.08,test
CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,4.08,train
O=S(=O)(O)Oc1ccc(C(c2ccc(OS(=O)(=O)O)cc2)c2ccccn2)cc1,4.08,train
c1ccc2[nH]c(-c3cscn3)nc2c1,4.08,train
Cc1nc(N)sc1-c1ccnc(Nc2ccc(N3CCOCC3)cc2)n1,4.08,train
O=S(=O)([O-])Oc1ccc(C(c2ccc(OS(=O)(=O)[O-])cc2)c2ccccn2)cc1,4.08,train
Cn1c(-c2ccccn2)c(C2CCCC2)c2ccc(C(=O)NC3(C(=O)Nc4ccc(/C=C/C(=O)O)cc4)CCC3)cc21,4.09,test
Oc1ccc(C(c2ccc(O)cc2)c2ccccn2)cc1,4.09,train
Nc1nc(OCc2cc(Br)cs2)c2[nH]cnc2n1,4.09,train
CC(C)(O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,4.09,train
Cc1cc(N2CCN(c3ccc(C(=O)Nc4ccc(F)cc4)cc3)CC2)ccc1OC[C@@H]1CO[C@@](Cn2cncn2)(c2ccc(F)cc2F)C1,4.09,train
C[C@@H]1C(=O)NC2=Nc3cccc(Cl)c3CN21,4.09,train
CN(C)c1ccc(-c2nc(=O)n(C)nc2-c2ccc(N(C)C)cc2)cc1,4.1,test
CC/C=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1csc(N)n1,4.1,train
Cc1ncc(CO)c(C=O)c1O,4.11,train
Cc1ncc(COP(=O)(O)O)c(C=O)c1O,4.11,train
Cc1ncc(COP(=O)([O-])[O-])c(C=O)c1O,4.11,train
CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,4.11,train
CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[nH]ccc3n12,4.11,train
COc1ccc(COc2ccc(Cn3c(N)nc4cc(-c5cnn(C)c5)cnc43)cc2OC)cc1,4.11,train
CCCCC(=N)NC(=O)Nc1ccc(Cl)cc1,4.12,train
COc1ccnc2c1CCCCC2[S+]([O-])c1nc2ccccc2[nH]1,4.12,train
CCCCC(=N)NC(=O)Nc1ccc(Cl)cc1.CCCCCCCCCCCCOS(=O)(=O)O,4.12,train
COc1cc2c(cc1-c1c(C)noc1C)cc(C)c(=O)n2Cc1ccccn1,4.12,train
CCCCCCCN1C(C)=CS/C1=C/C=C(/C=C/c1scc(C)[n+]1CCCCCCC)c1scc(C)[n+]1CCCCCCC,4.13,train
Cc1cc(Cn2nnc3c(-c4ccco4)nc(N)nc32)ccc1N,4.13,train
C[N+](C)([O-])CCOC(c1ccccc1)c1ccccc1,4.14,train
Clc1ccccc1C1=NCc2nnc(C3CCCCC3)n2-c2sc(Br)cc21,4.14,train
C=N[C@@H](C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O)c1ccccc1,4.14,train
CC1(C)C2CCC1(CS(=O)(=O)O)C(=O)C2.C[N+](C)([O-])CCOC(c1ccccc1)c1ccccc1,4.14,train
O=C(Nc1cnc(-c2ccncc2F)c(-c2cccnc2)n1)C1CC1,4.14,train
Nc1ccc(/C=C/c2ccc([N+](=O)[O-])o2)nn1,4.15,test
CN1C(=S)CN=C(c2ccccc2)c2cc(Cl)ccc21,4.15,train
S=C1SCN(Cc2ccccc2)CN1Cc1ccccc1,4.15,train
Cn1cc(-c2cnc3ccc4ccc(CS(=O)(=O)NCc5ccccn5)cc4c(=O)c3c2)cn1,4.15,train
COC(=O)Nc1nc2cc(C3(O)c4ccccc4C(=O)N3c3cc(Cl)ccc3C)ccc2[nH]1,4.15,train
Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,4.16,test
CN(C)/C=N/c1c(I)cc(I)c(CCC(=O)O)c1I,4.16,train
CCCC(=O)NCCc1ccc(S(=O)(=O)N2CCN(C3CC=CCC3)C2=N)cc1,4.16,train
CN(C)/C=N/c1c(I)cc(I)c(CCC(=O)[O-])c1I,4.16,train
O=[N+]([O-])c1ccc(/C=C/c2cccc(CO)n2)o1,4.16,train
CCOc1ccc(-c2nc(-c3cccc(C(=O)O)n3)cs2)cc1OCC,4.17,train
O=C(c1ccccc1Cl)c1cccnc1-c1nnn(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1ccncc1,4.17,train
C[C@@H](C(=O)Nc1ccc(Cl)cc1)C1CCC(c2ccnc3ccc(F)cc23)CC1,4.17,train
O=C(O)c1cccnc1,4.19,test
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,4.19,train
COC(=O)Nc1nc2cc(SC3CCCCC3)ccc2[nH]1,4.19,train
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(C)c(CC(=O)O)s3)CS[C@H]12)c1csc(N)n1,4.19,train
Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,4.2,test
CCCCCCCCCCCCCCCCCC(=O)NCCCCOn1c(CCCC)nc2c(N)nc3ccccc3c21,4.2,test
CCC(=O)NS(=O)(=O)c1cnccc1Nc1cccc(C(F)(F)F)c1,4.2,train
CCCSc1ccc([N+](=O)[O-])c(N/C(=N/CCS(=O)(=O)O)NC(=O)OC)c1,4.2,train
CC1(C)CC=C(c2nc(C3CC(C)(C)OC(C)(C)C3)ccc2NC(=O)c2nc(C#N)c[nH]2)CC1,4.2,train
Nc1nc(OCCc2ccc(Cl)cc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,4.21,test
Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)Nc1ccc(O)cc1)c1nnc(C)n1-2,4.21,test
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,4.21,train
C[C@@]1(C(=O)Nc2ccc(F)nc2)CCCN1c1nc(Nc2cc(C3CC3)n[nH]2)c2cccn2n1,4.21,train
O=C(O)c1ccc(NC(=O)[C@H](CC2CCCC2)n2cnc(C(F)(F)F)c2)nc1,4.21,train
CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)N[C@H]3CCOC3)cn2)c1,4.21,train
CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O,4.22,train
COc1ccc(S(=O)(=O)Nc2cccnc2Nc2ccc(O)cc2)cc1,4.23,test
CCNNC(=O)[C@@H]1[C@H](c2cc(OC)c(OC)c(OC)c2)c2cc3c(cc2[C@H](O)[C@H]1CO)OCO3,4.23,train
CCCSc1nc(N2CCC[C@@H](CC(=O)O)C2)ccc1C(=O)NC1CCCCC1,4.23,train
COC(=O)[C@H](c1ccccc1Cl)N1CCc2sc(OC(C)=O)cc2C1,4.23,train
COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C,4.24,test
Nc1ccc(C(=O)NCC(=O)O)cc1,4.24,train
CCOC(=O)c1cncn1C1CCCc2ccccc21,4.24,train
COC(=O)Nc1nc2ccc(C3(c4ccc(F)cc4)OCCO3)cc2[nH]1,4.24,train
Nc1ccc(C(=O)NCC(=O)[O-])cc1,4.24,train
COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[n-]2)c1C,4.24,train
COc1ccc(-c2ccc(OCc3cc(C(=O)NS(=O)(=O)c4ccccc4C)oc3C)cc2)nc1,4.24,train
COC(=O)C1(OC(=O)c2cncn2[C@H](C)c2ccccc2)CC1,4.24,train
O=C(O)CCCCON=C(c1cccnc1)c1cccc(C(F)(F)F)c1,4.25,test
CC(C)(O)CNc1nc(Nc2ccnc(C(F)(F)F)c2)nc(-c2cccc(C(F)(F)F)n2)n1,4.25,test
COC(=O)c1cncn1C(C)c1ccccc1,4.25,train
N=c1ccn2c(n1)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]12,4.25,train
CCCOC(=O)c1cncn1C(C)c1ccccc1,4.25,train
CCOC(=O)c1cncn1C(C)c1ccc(F)cc1,4.25,train
CCOC(=O)c1cncn1[C@H](C)c1ccccc1,4.25,train
CCOC(=O)c1cncn1[C@@H](C)c1ccccc1,4.25,train
COC(=O)c1cncn1[C@H](C)c1ccc(I)cc1,4.25,train
COc1ccc(Sc2nc(N)nc3c2ncn3CCOCP(=O)(OCC(F)(F)F)OCC(F)(F)F)cc1,4.26,test
CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,4.26,test
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,4.26,train
O=S(=O)(O)c1cc(S(=O)(=O)O)c2nc(-c3ccc(-c4nc5c(S(=O)(=O)O)cc(S(=O)(=O)O)cc5[nH]4)cc3)[nH]c2c1,4.26,train
CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O,4.26,train
Cn1cc(-c2ccc3nnc(Sc4ccc5ncccc5c4)n3n2)cn1,4.26,train
CC(C)c1nc2c([nH]1)C(=O)C(=O)c1ccccc1-2,4.26,train
CC(C)(O)c1nc2ccccc2cc1N,4.26,train
